Player(s),Club(s),Goals,Season
Miroslav Klose,Werder Bremen,25,2005
Theofanis Gekas,VfL Bochum,20,2006
Luca Toni,Bayern Munich,24,2007
Grafite,Wolfsburg,28,2008
Edin Džeko,Wolfsburg,22,2009
Mario Gómez,Bayern Munich,28,2010
Klaas-Jan Huntelaar,Schalke 04,29,2011
Stefan Kießling,Leverkusen,25,2012
Robert Lewandowski,Dortmund,20,2013
Alexander Meier,Eintracht Frankfurt,19,2014
Robert Lewandowski,Bayern Munich,30,2015
Pierre-Emerick Aubameyang,Dortmund,31,2016
Robert Lewandowski,Bayern Munich,29,2017
Robert Lewandowski,Bayern Munich,22,2018
Robert Lewandowski,Bayern Munich,34,2019
Robert Lewandowski,Bayern Munich,41,2020
Robert Lewandowski,Bayern Munich,35,2021
Niclas Füllkrug,Werder Bremen,16,2022
Christopher Nkunku,RB Leipzig,16,2022